brand_list_type,brand_index_letter,brand_name,brand_name_ko,ctg_no
en,A,&Tradition,앤트레디션,2305091790
en,A,A COLD WALL,어콜드월,2212074062
en,A,A PUNTO B,아푼토비,2405132061
en,A,A.BOCCA,에이보카,2406134111
en,A,A.P.C.,아페쎄,2212074449
en,A,ABMT,에이비엠티,2303083023
en,A,ABOUT TONE,어바웃톤,2408142017
en,A,ABU GARCIA,아부 가르시아,2404125823
en,A,ABUS,아부스,2301077333
en,A,ACQUA DI PARMA,아쿠아 디 파르마,2206057361
en,A,ACTG,에스코티지,2206058088
en,A,ADDIR,아디르,2101027096
en,A,ADER ERROR,아더에러,2312112442
en,A,ADIDAS,아디다스,2301076338
en,A,ADIDAS GOLF,아디다스 골프,2405132098
en,A,ADIDAS GOLF,아디다스 골프,2402120751
en,A,ADIDAS Y-3,아디다스 와이쓰리,2301075185
en,A,ADRIANO GOLDSCHMIED,아드리아노 골드슈미드,2406134127
en,A,AEER,아에르,1901005399
en,A,AESTHER EKME,에스더 에크메,2406134103
en,A,AESTURA,에스트라,2302079339
en,A,AETERNO,에테르노,2212074065
en,A,AFTER LABEL,애프터 라벨,2310106356
en,A,AFTER TENNIS,애프터 테니스,2206058865
en,A,AGE,에이지,2107035684
en,A,AGNES.B,아네스베,2302079293
en,A,AGO,아고,2402117919
en,A,AGOLDE,에이골디,2301075540
en,A,AJOBYAJO,아조바이아조,2108037865
en,A,AKONI,아코니,2405132028
en,A,AKRIS,아크리스,2401114316
en,A,AKRO,아크로,2308100401
en,A,ALABASTER,알라바스터,2307096529
en,A,ALAIA,알라이아,2212074060
en,A,ALANUI,알라누이,2305091050
en,A,ALBERTA FERRETTI,알베르타페레티,2303081020
en,A,ALCHEMIST,알케미스트,2406134096
en,A,ALDEN,알든,2301076010
en,A,ALDO,알도,2408144158
en,A,ALESSANDRA RICH,알렉산드라리치,2303081019
en,A,ALESSANDRO VIGILANTE,알레산드로 비질란테,2406134112
en,A,ALESSI,알레시,2108037846
en,A,Alexander McQueen,알렉산더맥퀸,2212074061
en,A,ALEXANDERWANG,알렉산더왕,010000004142
en,A,ALEXANDRE VAUTHIER,알렉산드레 보티에,2403121485
en,A,ALICE & OLIVIA,앨리스 앤 올리비아,2405132006
en,A,ALLEGRI,알레그리,2305091418
en,A,ALLIE,알리,2302079345
en,A,ALLSAINTS,올세인츠,1911012189
en,A,ALOD,알로드,2404125660
en,A,ALPHA INDUSTRIES,알파인더스트리,2310105992
en,A,ALPHA INDUSTRIES,알파 인더스트리,2211070800
en,A,ALPHA STUDIO,알파스튜디오,2405131996
en,A,ALTAIA,알타이아,2402120512
en,A,ALTRA,알트라,2301076858
en,A,ALVIERO MARTINI 1A CLASSE,알비에로 마르티니 클라쎄,2305091066
en,A,ALYSI,알리지,2405131986
en,A,ALYX,알릭스,2301075287
en,A,ambai,암바이,2312112297
en,A,AMBUSH,앰부시,2301077120
en,A,AMERICAN NEEDLE,아메리칸 니들,2301075919
en,A,AMERICAN VINTAGE,아메리칸 빈티지,2406136136
en,A,AMI PARIS,아미 파리,2212074450
en,A,AMINA MUADDI,아미나 무아디,2403121333
en,A,AMIRI,아미리,2301077328
en,A,AMISH,아미시,2401114304
en,A,AMONG THEM,어몽뎀,2207061029
en,A,AMPLE:N,앰플엔,2302079367
en,A,AMT,에이엠티,2210068320
en,A,ANARK,아나크,2302079292
en,A,ANDALOU,안달로우,2302078638
en,A,ANDAMANE,안다마네,2403121334
en,A,ANDANTTE,안단테,2402120026
en,A,ANDERSEN-ANDERSEN,안데르센 안데르센,2304088672
en,A,ANDREA ADAMO,안드레아 아다모,2401114290
en,A,ANEPIGRAPHE,아네피그라프,2010023510
en,A,ANESSA,아넷사,2304085620
en,A,ANIA HAIE,아니아하이에,2212074804
en,A,ANILLO,아닐로,2302079381
en,A,ANINE BING,애니빙,2405131990
en,A,ANITA BILARDI,아니타 빌라디,2305090989
en,A,ANN DEMEULEMEESTER,앤 드뮐미스터,2305091065
en,A,ANNA SUI,안나수이,2404125085
en,A,ANNA SUI EYEWEAR,안나수이,2301076745
en,A,ANTOMARS,앤투마스,2202049847
en,A,ANUA,아누아,2302079353
en,A,AQUAZZURA,아쿠아주라,2305090985
en,A,ARCHIES,아치스,2407138200
en,A,ARCHIVIO B,아키비오 비,2403121299
en,A,ARCTERYX,아크테릭스,2007019669
en,A,ARENA,아레나,2303084013
en,A,ARENCIA,아렌시아,2301075568
en,A,ARIANA GRANDE FRAGRANCES,아리아나 그란데,2308098321
en,A,ARMANI EXCHANGE,아르마니 익스체인지,010000003424
en,A,ARTEK,아르텍,2107036438
en,A,ARTEMIDE,아르떼미데,2302078453
en,A,ARTISAN&ARTIST,아티산&아티스트,2302079928
en,A,ARTISH,아티쉬,2406136953
en,A,ARTN EDITION,아트앤에디션,2203051062
en,A,ARWE,아르베,2405131699
en,A,ASH,아쉬,2301076004
en,A,ASHER GOLF,아셀골프 ACC,2206058110
en,A,ASICS,아식스,2301077259
en,A,ASPESI,아스페시,2302078621
en,A,ASTORFLEX,아스토플렉스,2303081017
en,A,ASUS,에이수스,2305091226
en,A,ATELIER PAULIN,아뜰리에 폴린,2305091695
en,A,ATELIER QUINCE,아틀리에퀸스,2207060917
en,A,ATHPLATFORM,애스플래폼,2004016404
en,A,ATOMO FACTORY,아토모 팩토리,2406134082
en,A,AURALEE,오라리,2301075289
en,A,AURUT,아우릇,2202049083
en,A,AUSTIN AUSTIN,오스틴오스틴,2404128694
en,A,AUTRY,오트리,2405131942
en,A,AVEDA,아베다,2207061190
en,A,AVEN,에이븐,2207060559
en,A,AVOCADO,아보카도,1909010558
en,A,AVOLT,아볼트,2301076402
en,A,AVVES GOLF,아베스골프,2206057716
en,A,AWAKE NY,어웨이크 NY,2405132008
en,A,AWESOMEBIKE,어썸바이크,2305089156
en,A,AXEL ARIGATO,악셀아리가토,2212074059
en,A,Azfit,아즈피트,2312112296
en,B,BA&SH,바쉬,2406134090
en,B,BABOR,바버,2309102675
en,B,BACCARAT,바카랏,2307095538
en,B,BADBLUE,배드블루,2201046151
en,B,BALENCIAGA,발렌시아가,2212074465
en,B,BALENCIAGA KIDS,발렌시아가 키즈,2211072199
en,B,BALLANTYNE,발란타인,2305090422
en,B,BALLARINI,발라리니,2207060700
en,B,BALLY,발리,2212074187
en,B,BALMAIN,발망,2301075858
en,B,BALMAIN HAIR,발망 헤어,2303084293
en,B,BALMAIN KIDS,발망 키즈,2301075786
en,B,BALMUDA,발뮤다,2301075494
en,B,BANG & OLUFSEN,뱅앤울룹슨,2004016290
en,B,BAO BAO ISSEY MIYAKE,바오바오 이세이 미야케,2301076002
en,B,BAOBAB COLLECTION,바오밥컬렉션,2404128705
en,B,BARACUTA,바라쿠타,2212074181
en,B,BARBA,바르바,2305091042
en,B,BARBOUR,바버,2308098787
en,B,BAREBONES,베어본즈,2306093821
en,B,BAREDO,바레도,2309102678
en,B,BARELOU,베어루,2310104457
en,B,BARNEYS NEW YORK,바니스 뉴욕 패션,2301075864
en,B,BARROW,바로우,2403123134
en,B,BARTON PERREIRA,바본페레이라,2406134075
en,B,BASERANGE,베이스레인지,2312111771
en,B,BASIL BANGS,바질뱅스,2106034458
en,B,BASTONG,바스통,1904007042
en,B,BATH & BODY WORKS,배스 앤 바디웍스,2404128349
