ctg_name,ctg_no,depth,parent_ctg_name,parent_ctg_no,is_leaf
뷰티,1806002619,0,,,False
여성의류,2303081535,0,,,False
남성의류,2303081536,0,,,False
백,2303081811,0,,,False
슈즈,2303081795,0,,,False
액세서리,2303082022,0,,,False
스포츠/레저,2303081986,0,,,False
골프,2201046639,0,,,False
키즈,2303081817,0,,,False
라이프,2303082120,0,,,False
전체,P20,1,뷰티,1806002619,True
향수,2302079174,1,뷰티,1806002619,False
오 드 뚜왈렛,2302079176,2,향수,2302079174,True
오 드 퍼퓸,2302079177,2,향수,2302079174,True
코롱,2302079178,2,향수,2302079174,True
기타 향수,2302079179,2,향수,2302079174,True
헤어 퍼퓸,2302079180,2,향수,2302079174,True
스킨케어,2302079070,1,뷰티,1806002619,False
스킨/토너/미스트,2302079163,2,스킨케어,2302079070,False
토너,2302079579,3,스킨/토너/미스트,2302079163,True
토너 패드,2302079578,3,스킨/토너/미스트,2302079163,True
미스트,2302079577,3,스킨/토너/미스트,2302079163,True
로션/에멀전/크림,2302079164,2,스킨케어,2302079070,False
수분/영양,2302079585,3,로션/에멀전/크림,2302079164,True
안티에이징,2302079584,3,로션/에멀전/크림,2302079164,True
민감성/진정,2302079583,3,로션/에멀전/크림,2302079164,True
화이트닝,2302079582,3,로션/에멀전/크림,2302079164,True
모공케어,2302079581,3,로션/에멀전/크림,2302079164,True
부스터,2302079580,3,로션/에멀전/크림,2302079164,True
에센스/세럼/앰플,2302079588,2,스킨케어,2302079070,False
수분/영양,2302079594,3,에센스/세럼/앰플,2302079588,True
안티에이징,2302079595,3,에센스/세럼/앰플,2302079588,True
민감성/진정,2302079596,3,에센스/세럼/앰플,2302079588,True
화이트닝,2302079597,3,에센스/세럼/앰플,2302079588,True
모공케어,2302079598,3,에센스/세럼/앰플,2302079588,True
부스터,2302079599,3,에센스/세럼/앰플,2302079588,True
아이/넥 케어,2302079589,2,스킨케어,2302079070,False
크림/밤,2302079607,3,아이/넥 케어,2302079589,True
에센스/세럼,2302079608,3,아이/넥 케어,2302079589,True
마스크/패치,2302079609,3,아이/넥 케어,2302079589,True
마스크/팩,2302079591,2,스킨케어,2302079070,False
시트팩,2302079626,3,마스크/팩,2302079591,True
토너 패드,2302079627,3,마스크/팩,2302079591,True
페이셜 팩,2302079628,3,마스크/팩,2302079591,True
기타,2302079629,3,마스크/팩,2302079591,True
클렌저/스크럽,2302079162,2,스킨케어,2302079070,False
폼/젤,2302079168,3,클렌저/스크럽,2302079162,True
오일/워터/밤,2302079167,3,클렌저/스크럽,2302079162,True
아이/립 리무버,2302079166,3,클렌저/스크럽,2302079162,True
페이셜 솝,2302079169,3,클렌저/스크럽,2302079162,True
스크럽/필링,2302079170,3,클렌저/스크럽,2302079162,True
티슈,2302079171,3,클렌저/스크럽,2302079162,True
기타,2302080625,3,클렌저/스크럽,2302079162,True
선케어,2302079590,2,스킨케어,2302079070,True
기타,2302079592,2,스킨케어,2302079070,False
기타 스킨케어,2302079612,3,기타,2302079592,True
스킨케어 세트,2302079613,3,기타,2302079592,True
메이크업,2302079576,1,뷰티,1806002619,False
페이스 메이크업,2302079630,2,메이크업,2302079576,False
메이크업 베이스,2302079660,3,페이스 메이크업,2302079630,True
파운데이션,2302079657,3,페이스 메이크업,2302079630,True
컨실러,2302079659,3,페이스 메이크업,2302079630,True
파우더/팩트/쿠션,2302079658,3,페이스 메이크업,2302079630,True
립 메이크업,2302079633,2,메이크업,2302079576,False
립스틱,2302079668,3,립 메이크업,2302079633,True
립틴트/립글로스,2302079669,3,립 메이크업,2302079633,True
립케어,2302079670,3,립 메이크업,2302079633,True
아이 메이크업,2302079632,2,메이크업,2302079576,False
마스카라,2302079661,3,아이 메이크업,2302079632,True
아이라이너,2302079662,3,아이 메이크업,2302079632,True
아이브로우,2302079663,3,아이 메이크업,2302079632,True
아이섀도우,2302079664,3,아이 메이크업,2302079632,True
치크/하이라이터/쉐이딩,2302079631,2,메이크업,2302079576,False
블러쉬,2302079665,3,치크/하이라이터/쉐이딩,2302079631,True
하이라이터,2302079666,3,치크/하이라이터/쉐이딩,2302079631,True
쉐이딩/컨투어,2302079667,3,치크/하이라이터/쉐이딩,2302079631,True
네일케어,2302079634,2,메이크업,2302079576,False
네일 폴리쉬,2302079674,3,네일케어,2302079634,True
트리트먼트/오일,2302079675,3,네일케어,2302079634,True
메이크업 소품,2302079635,2,메이크업,2302079576,False
브러쉬/툴,2302079676,3,메이크업 소품,2302079635,True
퍼프,2302079677,3,메이크업 소품,2302079635,True
기타,2303082420,3,메이크업 소품,2302079635,True
기타,2302079636,2,메이크업,2302079576,True
바디케어,2302079639,1,뷰티,1806002619,False
워시/스크럽,2302079700,2,바디케어,2302079639,False
워시/젤,2302079706,3,워시/스크럽,2302079700,True
스크럽,2302079707,3,워시/스크럽,2302079700,True
비누/솝,2302079708,3,워시/스크럽,2302079700,True
로션/크림/오일,2302079701,2,바디케어,2302079639,False
로션/크림,2302079709,3,로션/크림/오일,2302079701,True
오일,2302079710,3,로션/크림/오일,2302079701,True
미스트,2302079711,3,로션/크림/오일,2302079701,True
입욕제,2302079702,2,바디케어,2302079639,True
핸드/풋케어,2302079703,2,바디케어,2302079639,False
핸드크림,2302079715,3,핸드/풋케어,2302079703,True
핸드워시,2302079714,3,핸드/풋케어,2302079703,True
풋케어,2302079713,3,핸드/풋케어,2302079703,True
넥/바스트케어,2302079704,2,바디케어,2302079639,True
기타,2302079705,2,바디케어,2302079639,False
바디케어 세트,2302079716,3,기타,2302079705,True
핸드케어 세트,2302079717,3,기타,2302079705,True
기타 바디케어,2302079718,3,기타,2302079705,True
헤어케어,2302079638,1,뷰티,1806002619,False
샴푸/컨디셔너,2302079678,2,헤어케어,2302079638,False
샴푸,2302079684,3,샴푸/컨디셔너,2302079678,True
컨디셔너,2302079685,3,샴푸/컨디셔너,2302079678,True
트리트먼트/팩,2302079679,2,헤어케어,2302079638,False
트리트먼트,2302079687,3,트리트먼트/팩,2302079679,True
마스크 팩,2302079688,3,트리트먼트/팩,2302079679,True
에센스/오일/미스트,2302079680,2,헤어케어,2302079638,False
에센스,2302079689,3,에센스/오일/미스트,2302079680,True
