gift_mgmt_no,gift_goods_dtl_no,gift_limit_qty,vir_vend_no,gift_limit_qty_mng_yn,goods_nm,goods_no,item_nm,gift_goods_nm,gift_limit_rest_qt,item_no,cmps_qty
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400018010,2400030329,0,VV10000001,N,[사은품][딥티크] 벨벳 핸드로션 10ml,2308876919,투명/F,[사은품][딥티크] 벨벳 핸드로션 10ml 투명/F,0,6533932000400,1
2400018010,2400030328,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
2400017457,2400029324,0,VV10000001,N,HG 파운데이션 퍼프 세트,2208541560,HG 파운데이션 퍼프 세트,HG 파운데이션 퍼프 세트,0,68099705846,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
1900002250,1900002648,0,VV10000001,N,[사은품] 하이드라 히알루론7 오버나이트 마스크 브러쉬,1909213677,화이트/F,[사은품] 하이드라 히알루론7 오버나이트 마스크 브러쉬 화이트/F,0,6989127000300,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
