product_code,deli_cost_form_cd,deli_cost_poli_no,st_amt,deli_cost_unit_qty,city_exp_deli_cost,ret_deli_cost,prepay_permit_form_cd,deli_cost_amt
01P0000000025,10,0000000001,40000,0,0,3000,,3000
01P0000000088,10,0000000001,40000,0,0,3000,,3000
01P0000000307,10,0000000001,40000,0,0,3000,,3000
01P0000000310,10,0000000001,40000,0,0,3000,,3000
01P0000000375,10,0000000001,40000,0,0,3000,,3000
01P0000000509,10,0000000001,40000,0,0,3000,,3000
01P0000000535,10,0000000001,40000,0,0,3000,,3000
01P0000000689,10,0000000001,40000,0,0,3000,,3000
01P0000000790,10,0000000001,40000,0,0,3000,,3000
01P0000001026,10,0000000001,40000,0,0,3000,,3000
01P0000001176,10,0000000001,40000,0,0,3000,,3000
01P0000001195,10,0000000001,40000,0,0,3000,,3000
01P0000001205,10,0000000001,40000,0,0,3000,,3000
01P0000001397,10,0000000001,40000,0,0,3000,,3000
01P0000001436,10,0000000001,40000,0,0,3000,,3000
01P0000001447,10,0000000001,40000,0,0,3000,,3000
01P0000001593,10,0000000001,40000,0,0,3000,,3000
01P0000001660,10,0000000001,40000,0,0,3000,,3000
01P0000001853,10,0000000001,40000,0,0,3000,,3000
01P0000001963,10,0000000001,40000,0,0,3000,,3000
01P0000002036,10,0000000001,40000,0,0,3000,,3000
01P0000002406,10,0000000001,40000,0,0,3000,,3000
01P0000002426,10,0000000001,40000,0,0,3000,,3000
01P0000002558,10,0000000001,40000,0,0,3000,,3000
01P0000002615,10,0000000001,40000,0,0,3000,,3000
01P0000003008,10,0000000001,40000,0,0,3000,,3000
01P0000003631,10,0000000001,40000,0,0,3000,,3000
01P0000003643,10,0000000001,40000,0,0,3000,,3000
01P0000003793,10,0000000001,40000,0,0,3000,,3000
01P0000003818,10,0000000001,40000,0,0,3000,,3000
01P0000004319,10,0000000001,40000,0,0,3000,,3000
01P0000004684,10,0000000001,40000,0,0,3000,,3000
01P0000004745,10,0000000001,40000,0,0,3000,,3000
01P0000004835,10,0000000001,40000,0,0,3000,,3000
01P0000004845,10,0000000001,40000,0,0,3000,,3000
01P0000004914,10,0000000001,40000,0,0,3000,,3000
01P0000005006,10,0000000001,40000,0,0,3000,,3000
01P0000005596,10,0000000001,40000,0,0,3000,,3000
01P0000005632,10,0000000001,40000,0,0,3000,,3000
01P0000005717,10,0000000001,40000,0,0,3000,,3000
01P0000005739,10,0000000001,40000,0,0,3000,,3000
01P0000005800,10,0000000001,40000,0,0,3000,,3000
01P0000006215,10,0000000001,40000,0,0,3000,,3000
01P0000006230,10,0000000001,40000,0,0,3000,,3000
01P0000006292,10,0000000001,40000,0,0,3000,,3000
01P0000006437,10,0000000001,40000,0,0,3000,,3000
01P0000007020,10,0000000001,40000,0,0,3000,,3000
01P0000007476,10,0000000001,40000,0,0,3000,,3000
01P0000008072,10,0000000001,40000,0,0,3000,,3000
01P0000008518,10,0000000001,40000,0,0,3000,,3000
01P0000008539,10,0000000001,40000,0,0,3000,,3000
01P0000008580,10,0000000001,40000,0,0,3000,,3000
01P0000008851,10,0000000001,40000,0,0,3000,,3000
01P0000008855,10,0000000001,40000,0,0,3000,,3000
01P0000008904,10,0000000001,40000,0,0,3000,,3000
01P0000008917,10,0000000001,40000,0,0,3000,,3000
01P0000008934,10,0000000001,40000,0,0,3000,,3000
01P0000009179,10,0000000001,40000,0,0,3000,,3000
01P0000009349,10,0000000001,40000,0,0,3000,,3000
01P0000009834,10,0000000001,40000,0,0,3000,,3000
01P0000010050,10,0000000001,40000,0,0,3000,,3000
01P0000010118,10,0000000001,40000,0,0,3000,,3000
01P0000010186,10,0000000001,40000,0,0,3000,,3000
01P0000010193,10,0000000001,40000,0,0,3000,,3000
01P0000010375,10,0000000001,40000,0,0,3000,,3000
01P0000010527,10,0000000001,40000,0,0,3000,,3000
01P0000010890,10,0000000001,40000,0,0,3000,,3000
01P0000010969,10,0000000001,40000,0,0,3000,,3000
01P0000011000,10,0000000001,40000,0,0,3000,,3000
01P0000011032,10,0000000001,40000,0,0,3000,,3000
01P0000011202,10,0000000001,40000,0,0,3000,,3000
01P0000011658,10,0000000001,40000,0,0,3000,,3000
01P0000011676,10,0000000001,40000,0,0,3000,,3000
01P0000011820,10,0000000001,40000,0,0,3000,,3000
01P0000012262,10,0000000001,40000,0,0,3000,,3000
01P0000012372,10,0000000001,40000,0,0,3000,,3000
01P0000012404,10,0000000001,40000,0,0,3000,,3000
01P0000012473,10,0000000001,40000,0,0,3000,,3000
01P0000012689,10,0000000001,40000,0,0,3000,,3000
01P0000012721,10,0000000001,40000,0,0,3000,,3000
01P0000012756,10,0000000001,40000,0,0,3000,,3000
01P0000012794,10,0000000001,40000,0,0,3000,,3000
01P0000012942,10,0000000001,40000,0,0,3000,,3000
01P0000013074,10,0000000001,40000,0,0,3000,,3000
01P0000013114,10,0000000001,40000,0,0,3000,,3000
01P0000013237,10,0000000001,40000,0,0,3000,,3000
01P0000013322,10,0000000001,40000,0,0,3000,,3000
01P0000013340,10,0000000001,40000,0,0,3000,,3000
01P0000013662,10,0000000001,40000,0,0,3000,,3000
01P0000013724,10,0000000001,40000,0,0,3000,,3000
01P0000014138,10,0000000001,40000,0,0,3000,,3000
01P0000014504,10,0000000001,40000,0,0,3000,,3000
01P0000014763,10,0000000001,40000,0,0,3000,,3000
01P0000014997,10,0000000001,40000,0,0,3000,,3000
01P0000015268,10,0000000001,40000,0,0,3000,,3000
01P0000015290,10,0000000001,40000,0,0,3000,,3000
01P0000015305,10,0000000001,40000,0,0,3000,,3000
01P0000015497,10,0000000001,40000,0,0,3000,,3000
01P0000015575,10,0000000001,40000,0,0,3000,,3000
01P0000015596,10,0000000001,40000,0,0,3000,,3000
01P0000015758,10,0000000001,40000,0,0,3000,,3000
01P0000016035,10,0000000001,40000,0,0,3000,,3000
01P0000016039,10,0000000001,40000,0,0,3000,,3000
01P0000016133,10,0000000001,40000,0,0,3000,,3000
01P0000016238,10,0000000001,40000,0,0,3000,,3000
01P0000016406,10,0000000001,40000,0,0,3000,,3000
01P0000016489,10,0000000001,40000,0,0,3000,,3000
01P0000016517,10,0000000001,40000,0,0,3000,,3000
01P0000016615,10,0000000001,40000,0,0,3000,,3000
01P0000016902,10,0000000001,40000,0,0,3000,,3000
01P0000017041,10,0000000001,40000,0,0,3000,,3000
01P0000017130,10,0000000001,40000,0,0,3000,,3000
01P0000017308,10,0000000001,40000,0,0,3000,,3000
01P0000017708,10,0000000001,40000,0,0,3000,,3000
01P0000017815,10,0000000001,40000,0,0,3000,,3000
01P0000018326,10,0000000001,40000,0,0,3000,,3000
01P0000019134,10,0000000001,40000,0,0,3000,,3000
01P0000019297,10,0000000001,40000,0,0,3000,,3000
01P0000019621,10,0000000001,40000,0,0,3000,,3000
01P0000019769,10,0000000001,40000,0,0,3000,,3000
01P0000019950,10,0000000001,40000,0,0,3000,,3000
01P0000019953,10,0000000001,40000,0,0,3000,,3000
01P0000020058,10,0000000001,40000,0,0,3000,,3000
01P0000020242,10,0000000001,40000,0,0,3000,,3000
01P0000020576,10,0000000001,40000,0,0,3000,,3000
01P0000020626,10,0000000001,40000,0,0,3000,,3000
01P0000020654,10,0000000001,40000,0,0,3000,,3000
01P0000020724,10,0000000001,40000,0,0,3000,,3000
01P0000020751,10,0000000001,40000,0,0,3000,,3000
01P0000021296,10,0000000001,40000,0,0,3000,,3000
01P0000021964,10,0000000001,40000,0,0,3000,,3000
01P0000022194,10,0000000001,40000,0,0,3000,,3000
01P0000022282,10,0000000001,40000,0,0,3000,,3000
01P0000022357,10,0000000001,40000,0,0,3000,,3000
01P0000022379,10,0000000001,40000,0,0,3000,,3000
01P0000022450,10,0000000001,40000,0,0,3000,,3000
01P0000022495,10,0000000001,40000,0,0,3000,,3000
01P0000022636,10,0000000001,40000,0,0,3000,,3000
01P0000023813,10,0000000001,40000,0,0,3000,,3000
01P0000023857,10,0000000001,40000,0,0,3000,,3000
01P0000024253,10,0000000001,40000,0,0,3000,,3000
01P0000026101,10,0000000001,40000,0,0,3000,,3000
01P0000026196,10,0000000001,40000,0,0,3000,,3000
01P0000026244,10,0000000001,40000,0,0,3000,,3000
01P0000033500,10,0000000001,40000,0,0,3000,,3000
01P0000034364,10,0000000001,40000,0,0,3000,,3000
01P0000037066,10,0000000001,40000,0,0,3000,,3000
01P0000037082,10,0000000001,40000,0,0,3000,,3000
01P0000037209,10,0000000001,40000,0,0,3000,,3000
01P0000037210,10,0000000001,40000,0,0,3000,,3000
01P0000037211,10,0000000001,40000,0,0,3000,,3000
01P0000037212,10,0000000001,40000,0,0,3000,,3000
01P0000037379,10,0000000001,40000,0,0,3000,,3000
01P0000037951,10,0000000001,40000,0,0,3000,,3000
01P0000038552,10,0000000001,40000,0,0,3000,,3000
01P0000114939,10,0000000001,40000,0,0,3000,,3000
01P0000114958,10,0000000001,40000,0,0,3000,,3000
01P0000115092,10,0000000001,40000,0,0,3000,,3000
01P0000115177,10,0000000001,40000,0,0,3000,,3000
01P0000115278,10,0000000001,40000,0,0,3000,,3000
01P0000115342,10,0000000001,40000,0,0,3000,,3000
01P0000115463,10,0000000001,40000,0,0,3000,,3000
01P0000115591,10,0000000001,40000,0,0,3000,,3000
01P0000115705,10,0000000001,40000,0,0,3000,,3000
01P0000115786,10,0000000001,40000,0,0,3000,,3000
01P0000115930,10,0000000001,40000,0,0,3000,,3000
01P0000115946,10,0000000001,40000,0,0,3000,,3000
01P0000115967,10,0000000001,40000,0,0,3000,,3000
01P0000115979,10,0000000001,40000,0,0,3000,,3000
01P0000116002,10,0000000001,40000,0,0,3000,,3000
01P0000116028,10,0000000001,40000,0,0,3000,,3000
01P0000116030,10,0000000001,40000,0,0,3000,,3000
01P0000116033,10,0000000001,40000,0,0,3000,,3000
01P0000116053,10,0000000001,40000,0,0,3000,,3000
01P0000116055,10,0000000001,40000,0,0,3000,,3000
01P0000116069,10,0000000001,40000,0,0,3000,,3000
01P0000116084,10,0000000001,40000,0,0,3000,,3000
01P0000116096,10,0000000001,40000,0,0,3000,,3000
01P0000116112,10,0000000001,40000,0,0,3000,,3000
01P0000116129,10,0000000001,40000,0,0,3000,,3000
01P0000116141,10,0000000001,40000,0,0,3000,,3000
01P0000116142,10,0000000001,40000,0,0,3000,,3000
01P0000116144,10,0000000001,40000,0,0,3000,,3000
01P0000116157,10,0000000001,40000,0,0,3000,,3000
01P0000116158,10,0000000001,40000,0,0,3000,,3000
01P0000116163,10,0000000001,40000,0,0,3000,,3000
01P0000116176,10,0000000001,40000,0,0,3000,,3000
01P0000116181,10,0000000001,40000,0,0,3000,,3000
01P0000116187,10,0000000001,40000,0,0,3000,,3000
01P0000116188,10,0000000001,40000,0,0,3000,,3000
01P0000116189,10,0000000001,40000,0,0,3000,,3000
01P0000116217,10,0000000001,40000,0,0,3000,,3000
01P0000116218,10,0000000001,40000,0,0,3000,,3000
01P0000116225,10,0000000001,40000,0,0,3000,,3000
01P0000116230,10,0000000001,40000,0,0,3000,,3000
