product_code,gift_mgmt_nm,promo_no,promo_nm,gift_give_sel_cnt,gift_give_type_cd,gift_give_by_qty_yn,gift_mgmt_no
01P0000115342,[바이레도] 바디제품 펌프 증정 / 6204971064 (14),2401056827,[바이레도] 해당 상품 구매 시 사은품 증정,0,20,Y,2300012855
01P0000115946,[LP/오리베] 쇼핑백,2408068346,[추석선물/오리베] 해당 상품 구매시 사은품 증정,0,20,Y,2400016575
01P0000115979,[LP/오리베] 쇼핑백,2408068346,[추석선물/오리베] 해당 상품 구매시 사은품 증정,0,20,Y,2400016575
01P0000116030,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
01P0000116096,[LP/오리베] 쇼핑백,2408068346,[추석선물/오리베] 해당 상품 구매시 사은품 증정,0,20,Y,2400016575
01P0000116112,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
01P0000116218,[LP/오리베] 쇼핑백,2408068346,[추석선물/오리베] 해당 상품 구매시 사은품 증정,0,20,Y,2400016575
01P0000116283,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
01P0000116284,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
01P0000116314,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
01P0000116332,[SMN] 이드랄리아 스파츌라,2312056094,"[산타마리아노벨라] 이드랄리아 구매시, 스파츌러 증정",0,20,Y,2200009790
01P0000116449,[SMN] 이드랄리아 스파츌라,2312056094,"[산타마리아노벨라] 이드랄리아 구매시, 스파츌러 증정",0,20,Y,2200009790
01P0000126281,[LP/오리베] 쇼핑백,2408068346,[추석선물/오리베] 해당 상품 구매시 사은품 증정,0,20,Y,2400016575
01P0000207194,[딥티크] 플레르드뽀 2ml + 벨벳 핸드로션 10ml 증정,2408068468,[딥티크] 해당 상품 구매 시 사은품 증정,0,20,Y,2400018010
01P0000269449,[SMN] 향수 스프레이 캡(SIV),2312056093,[산타마리아노벨라] 아쿠아 디 콜로니아 구매 시 스프레이캡 증정,0,20,Y,2000004242
01P0000270013,[HG]  커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2408068342,[추석선물/아워글래스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017320
01P0000270020,[HG]  커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2408068342,[추석선물/아워글래스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017320
01P0000270115,[HG] 퍼프 세트,2408068340,[추석선물/아워글래스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017457
01P0000270116,[HG]  커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2408068342,[추석선물/아워글래스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017320
1908208938,[사은품][비디비치]하이드라 히알루론7 오버나이트 마스크 브러쉬,1909006669,[비디비치]하이드라 어드밴스드 오버나이트 마스크 구매시 전용 브러쉬 증정,0,20,Y,1900002250
2004264299,[LP] 쇼핑백 (소),2408068298,[추석선물/라페르바] 해당 상품 구매시 사은품 증정,0,20,Y,2400016576
2008296057,[SMN] 향수 스프레이 캡(SIV),2312056093,[산타마리아노벨라] 아쿠아 디 콜로니아 구매 시 스프레이캡 증정,0,20,Y,2000004242
2010315093,[LP/JLS]  쇼핑백 S + 리본,2408068348,[추석선물/조러브스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017975
2010315094,[LP/조러브스] 오 드 뚜왈렛 망고 타이 라임 10ml,2408068295,[라페르바/조러브스] 해당 상품 구매시 사은품 증정,0,20,Y,2400015946
2010315096,[LP/JLS]  쇼핑백 S + 리본,2408068348,[추석선물/조러브스] 해당 상품 구매시 사은품 증정,0,20,Y,2400017975
2012324143,[로이비] LV 쇼핑백(basic) 증정,2409068949,[로이비] 전 구매 시 쇼핑백 증정,0,20,Y,2400017856
2012324144,[로이비] LV 쇼핑백(basic) 증정,2409068949,[로이비] 전 구매 시 쇼핑백 증정,0,20,Y,2400017856
2012326939,[연작] 세트 구매시 전초 마스크 3매 증정,2408068042,[연작] 세트 상품 구매 시 사은품 증정,0,20,Y,2400017844
