product_code,bedge,text,user,created_at,product_option,question,answer
01P0000000025,답변완료,"상품 설명에 그린과 그레이컬러라고 되어있는데, 맞나요?",tomo******,2019.06.19,기타,"상품 설명에 그린과 그레이컬러라고 되어있는데, 맞나요?","안녕하세요. 고객님.
신세계인터내셔날입니다. 

고객님께서 문의 남겨 주셔서 수정 하였습니다. 감사드립니다. 
다시한번 확인 후 구매시 참고 부탁드립니다. 

고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
편안하고 행복한 하루 보내세요. 감사합니다."
01P0000000088,답변완료,모서리가 깨진게 왔어요 빠른 교환해주세요,2_se******,2022.04.30,기타,모서리가 깨진게 왔어요 빠른 교환해주세요,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

먼저 제품 사용에 있어 불편을 드린 점 사과드립니다.

상품 Q&A를 통해서는 주문 내역 확인이 안되기 때문에
주문내역 등 고객님 확인이 필요한 교환에 대한 문의는 번거로우시겠지만
해당 부분 사진이나 동영상 촬영 후 
고객센터(1644-4490) 혹은 1:1문의 게시판/카카오톡으로 연락 주시면
빠른 확인 후 안내해 드리겠습니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000000088,답변완료,"쇼핑백 담기가 안되는데 왜그런가요?
확인부탁드립니다.",yran******,2022.01.10,기타,"쇼핑백 담기가 안되는데 왜그런가요?
확인부탁드립니다.","안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

해당 상품 쇼핑백 담기 가능하도록 수정 처리했습니다.
쇼핑에 불편을 드려 대단히 죄송합니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000000088,답변완료,쇼핑백담기가 안됩니다 확인부탁합니다,fian******,2021.11.27,기타,쇼핑백담기가 안됩니다 확인부탁합니다,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

해당 상품 현재 쇼핑백 담기 가능합니다.
구매에 불편을 드려 죄송합니다. 

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000000307,답변완료,사이즈가 어떻게 되나요,ej10******,2022.12.07,기타,사이즈가 어떻게 되나요,"안녕하세요. 고객님.

S.I. VILLAGE 상품문의 담당자 입니다.

해당상품 크기는 12*17*7.4 cm / 아래입구 지름: 1.5cm 입니다.

참고하셔서 구매결정 부탁드립니다.

오늘도 시마을과 함께 즐거운 쇼핑되시고, 기분 좋은 하루 되시길 바라겠습니다.

감사합니다."
01P0000000307,답변완료,상품 설명에 304 기재 안 되어있는 경우 특이사항(예를 들어 일부분만 304)이 있던데 이 제품도 안 적혀있는데 다른 분 질문에 답변하신 걸 보면 304라고 하네요. 정확하게 전체 304가 맞습니까? 맞는다면 왜 수정을 안 하는 건가요?,rola******,2022.04.14,기타,상품 설명에 304 기재 안 되어있는 경우 특이사항(예를 들어 일부분만 304)이 있던데 이 제품도 안 적혀있는데 다른 분 질문에 답변하신 걸 보면 304라고 하네요. 정확하게 전체 304가 맞습니까? 맞는다면 왜 수정을 안 하는 건가요?,"안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

네 스테인리스 304 맞습니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000000307,답변완료,"킬너 이지필 깔대기 처럼 큰 깔대기도 만들어주세요
수요 많을거라 생각합니다. 
큰깔대기 구매하기 넘 어렵네요.",,2020.07.06,기타,"킬너 이지필 깔대기 처럼 큰 깔대기도 만들어주세요
수요 많을거라 생각합니다. 
큰깔대기 구매하기 넘 어렵네요.","안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 사항에 대해 답변 드리겠습니다.

소중한 의견 감사합니다. 
추후 상품 기획에 참고하도록 하겠습니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000000310,답변완료,바로구매밖에 안돼네요. 쇼핑백에 담아서 같이 구매하고싶어요~,whit******,2021.01.24,기타,바로구매밖에 안돼네요. 쇼핑백에 담아서 같이 구매하고싶어요~,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용에 답변드리겠습니다.

이용에 불편을 드려 대단히 죄송합니다.
해당 상품 현재 쇼핑백 담기 가능하도록 수정 처리되었으니
많은 이용 부탁드립니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000000310,답변완료,빠른 출고 부탁드립니다,icte******,2020.02.24,기타,빠른 출고 부탁드립니다,"안녕하세요. 고객님
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용 답변드리도록 하겠습니다.

배송기간은 주문일(무통장입금은 결제완료일)로부터 평균 2일 ~ 3일정도 소요되며
예약 배송 상품의 경우는 예약 배송일 기준으로 적용됩니다.

재고가 부족한 경우 수급을 위한 지연 및 취소가 될 수도 있는 점 양해 부탁드립니다.

조금 더 자세한 안내가 필요한 부분으로 언제든지
고객센터(1644-4490) 혹은 1:1문의 게시판/카카오톡으로 문의주신다면
신속하게 답변 도와드리도록 하겠습니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000000375,답변완료,아랫부분  너비가 얼마인가요?,ljyy******,2022.02.13,기타,아랫부분  너비가 얼마인가요?,"안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 상품의 사이즈는 [22.2x21] 입니다. 구매시 참고 부탁드립니다. 

편안하고 행복한 하루 보내세요."
01P0000000375,답변완료,배송받았는데 마지막 칸에는 슬리퍼가 들어가지 않는 각도인데 불량품인가요?;;,nsun******,2021.09.13,기타,배송받았는데 마지막 칸에는 슬리퍼가 들어가지 않는 각도인데 불량품인가요?;;,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

먼저 제품 사용에 있어 불편을 드린 점 사과드립니다.

상품 Q&A를 통해서는 주문 내역 확인이 안되기 때문에
주문내역 등 고객님 확인이 필요한 문의는 번거로우시겠지만
해당 부분 사진이나 동영상 촬영 후 
고객센터(164-4490) 혹은 1:1문의 게시판/카카오톡으로 연락 주시면
빠른 확인 후 안내해 드리겠습니다.

감사합니다."
